,var,AUC_loss
996,CTDD_solventaccess.3.residue0.m1,1.31E-05
423,DPC_DT.m1,1.24E-05
494,DPC_HI.m1,1.19E-05
646,DPC_QY.m1,1.17E-05
97,CTriad_g2.g7.g6.m1,1.10E-05
89,CTriad_g2.g6.g5.m1,1.04E-05
492,DPC_HG.m1,1.01E-05
820,CTDD_hydrophobicity_PRAM900101.3.residue100.m1,9.78E-06
860,CTDD_hydrophobicity_PONP930101.2.residue100.m1,9.48E-06
229,CTriad_g5.g5.g5.m1,8.75E-06
170,CTriad_g4.g4.g2.m1,8.27E-06
835,CTDD_hydrophobicity_ARGP820101.3.residue100.m1,7.44E-06
478,DPC_GN.m1,7.43E-06
811,CTDD_hydrophobicity_PRAM900101.2.residue0.m1,7.12E-06
493,DPC_HH.m1,7.02E-06
33,CTriad_g1.g5.g5.m1,6.98E-06
151,CTriad_g4.g1.g4.m1,5.98E-06
855,CTDD_hydrophobicity_PONP930101.1.residue100.m1,5.73E-06
86,CTriad_g2.g6.g2.m1,5.50E-06
724,DPC_VV.m1,4.94E-06
470,DPC_GE.m1,4.57E-06
718,DPC_VN.m1,4.20E-06
256,CTriad_g6.g2.g4.m1,4.01E-06
576,DPC_ML.m1,3.77E-06
397,DPC_CM.m1,3.39E-06
658,DPC_RN.m1,2.17E-06
540,DPC_KQ.m1,1.84E-06
742,DPC_WS.m1,1.84E-06
388,DPC_CC.m1,1.81E-06
60,CTriad_g2.g2.g4.m1,1.75E-06
717,DPC_VM.m1,1.32E-06
6,CTriad_g1.g1.g6.m1,1.18E-06
171,CTriad_g4.g4.g3.m1,1.14E-06
277,CTriad_g6.g5.g4.m1,6.66E-07
101,CTriad_g3.g1.g3.m1,5.21E-07
906,CTDD_hydrophobicity_FASG890101.3.residue0.m1,4.62E-07
419,DPC_DP.m1,4.11E-07
531,DPC_KF.m1,2.13E-07
42,CTriad_g1.g6.g7.m1,1.20E-08
412,DPC_DG.m1,1.20E-08
27,CTriad_g1.g4.g6.m1,0
28,CTriad_g1.g4.g7.m1,0
35,CTriad_g1.g5.g7.m1,0
39,CTriad_g1.g6.g4.m1,0
40,CTriad_g1.g6.g5.m1,0
41,CTriad_g1.g6.g6.m1,0
44,CTriad_g1.g7.g2.m1,0
46,CTriad_g1.g7.g4.m1,0
47,CTriad_g1.g7.g5.m1,0
48,CTriad_g1.g7.g6.m1,0
54,CTriad_g2.g1.g5.m1,0
70,CTriad_g2.g3.g7.m1,0
77,CTriad_g2.g4.g7.m1,0
84,CTriad_g2.g5.g7.m1,0
91,CTriad_g2.g6.g7.m1,0
93,CTriad_g2.g7.g2.m1,0
94,CTriad_g2.g7.g3.m1,0
95,CTriad_g2.g7.g4.m1,0
96,CTriad_g2.g7.g5.m1,0
98,CTriad_g2.g7.g7.m1,0
105,CTriad_g3.g1.g7.m1,0
110,CTriad_g3.g2.g5.m1,0
111,CTriad_g3.g2.g6.m1,0
112,CTriad_g3.g2.g7.m1,0
119,CTriad_g3.g3.g7.m1,0
126,CTriad_g3.g4.g7.m1,0
132,CTriad_g3.g5.g6.m1,0
133,CTriad_g3.g5.g7.m1,0
139,CTriad_g3.g6.g6.m1,0
140,CTriad_g3.g6.g7.m1,0
142,CTriad_g3.g7.g2.m1,0
144,CTriad_g3.g7.g4.m1,0
145,CTriad_g3.g7.g5.m1,0
147,CTriad_g3.g7.g7.m1,0
154,CTriad_g4.g1.g7.m1,0
161,CTriad_g4.g2.g7.m1,0
168,CTriad_g4.g3.g7.m1,0
172,CTriad_g4.g4.g4.m1,0
174,CTriad_g4.g4.g6.m1,0
175,CTriad_g4.g4.g7.m1,0
181,CTriad_g4.g5.g6.m1,0
182,CTriad_g4.g5.g7.m1,0
183,CTriad_g4.g6.g1.m1,0
185,CTriad_g4.g6.g3.m1,0
187,CTriad_g4.g6.g5.m1,0
188,CTriad_g4.g6.g6.m1,0
189,CTriad_g4.g6.g7.m1,0
190,CTriad_g4.g7.g1.m1,0
191,CTriad_g4.g7.g2.m1,0
192,CTriad_g4.g7.g3.m1,0
193,CTriad_g4.g7.g4.m1,0
194,CTriad_g4.g7.g5.m1,0
195,CTriad_g4.g7.g6.m1,0
196,CTriad_g4.g7.g7.m1,0
200,CTriad_g5.g1.g4.m1,0
203,CTriad_g5.g1.g7.m1,0
210,CTriad_g5.g2.g7.m1,0
216,CTriad_g5.g3.g6.m1,0
217,CTriad_g5.g3.g7.m1,0
221,CTriad_g5.g4.g4.m1,0
222,CTriad_g5.g4.g5.m1,0
224,CTriad_g5.g4.g7.m1,0
228,CTriad_g5.g5.g4.m1,0
231,CTriad_g5.g5.g7.m1,0
236,CTriad_g5.g6.g5.m1,0
238,CTriad_g5.g6.g7.m1,0
239,CTriad_g5.g7.g1.m1,0
240,CTriad_g5.g7.g2.m1,0
241,CTriad_g5.g7.g3.m1,0
242,CTriad_g5.g7.g4.m1,0
243,CTriad_g5.g7.g5.m1,0
244,CTriad_g5.g7.g6.m1,0
245,CTriad_g5.g7.g7.m1,0
250,CTriad_g6.g1.g5.m1,0
252,CTriad_g6.g1.g7.m1,0
257,CTriad_g6.g2.g5.m1,0
259,CTriad_g6.g2.g7.m1,0
264,CTriad_g6.g3.g5.m1,0
265,CTriad_g6.g3.g6.m1,0
266,CTriad_g6.g3.g7.m1,0
270,CTriad_g6.g4.g4.m1,0
272,CTriad_g6.g4.g6.m1,0
273,CTriad_g6.g4.g7.m1,0
275,CTriad_g6.g5.g2.m1,0
276,CTriad_g6.g5.g3.m1,0
278,CTriad_g6.g5.g5.m1,0
279,CTriad_g6.g5.g6.m1,0
280,CTriad_g6.g5.g7.m1,0
283,CTriad_g6.g6.g3.m1,0
284,CTriad_g6.g6.g4.m1,0
285,CTriad_g6.g6.g5.m1,0
286,CTriad_g6.g6.g6.m1,0
287,CTriad_g6.g6.g7.m1,0
288,CTriad_g6.g7.g1.m1,0
289,CTriad_g6.g7.g2.m1,0
290,CTriad_g6.g7.g3.m1,0
291,CTriad_g6.g7.g4.m1,0
292,CTriad_g6.g7.g5.m1,0
293,CTriad_g6.g7.g6.m1,0
