,var,AUC_loss
1009,CTDT_hydrophobicity_ZIMJ680101.Tr2332.ha,0.000533356
575,DPC_MK.ha,0.000531315
525,DPC_IW.ha,0.000526685
151,CTriad_g4.g1.g4.ha,0.000526162
374,DPC_AI.ha,0.000517613
601,DPC_NR.ha,0.000515707
382,DPC_AS.ha,0.000514876
238,CTriad_g5.g6.g7.ha,0.000512341
377,DPC_AM.ha,0.000511711
314,CTriad_g7.g3.g6.ha,0.00051014
720,DPC_VQ.ha,0.000505106
445,DPC_EW.ha,0.000502592
581,DPC_MR.ha,0.00050194
519,DPC_IP.ha,0.00050141
396,DPC_CL.ha,0.000498554
569,DPC_MD.ha,0.000498548
8,CTriad_g1.g2.g1.ha,0.000485047
974,CTDD_secondarystruct.1.residue75.ha,0.000483997
752,DPC_YG.ha,0.000483783
360,PAAC_Xc1.T.ha,0.00048351
611,DPC_PF.ha,0.000475729
919,CTDD_normwaalsvolume.2.residue75.ha,0.000474268
415,DPC_DK.ha,0.000472158
914,CTDD_normwaalsvolume.1.residue75.ha,0.000471131
666,DPC_RY.ha,0.000470743
661,DPC_RR.ha,0.00046991
632,DPC_QG.ha,0.000466802
862,CTDD_hydrophobicity_PONP930101.3.residue25.ha,0.000466401
714,DPC_VI.ha,0.000462783
212,CTriad_g5.g3.g2.ha,0.00046276
216,CTriad_g5.g3.g6.ha,0.00046031
190,CTriad_g4.g7.g1.ha,0.000460268
302,CTriad_g7.g2.g1.ha,0.000457933
625,DPC_PW.ha,0.00045782
132,CTriad_g3.g5.g6.ha,0.000457255
199,CTriad_g5.g1.g3.ha,0.000456977
111,CTriad_g3.g2.g6.ha,0.000453615
418,DPC_DN.ha,0.00045097
5,CTriad_g1.g1.g5.ha,0.000450484
659,DPC_RP.ha,0.000450391
543,DPC_KT.ha,0.000449848
937,CTDD_polarity.3.residue25.ha,0.000448991
85,CTriad_g2.g6.g1.ha,0.000446205
214,CTriad_g5.g3.g4.ha,0.00044615
159,CTriad_g4.g2.g5.ha,0.000443567
675,DPC_SK.ha,0.00044329
489,DPC_HD.ha,0.000441342
99,CTriad_g3.g1.g1.ha,0.000438527
55,CTriad_g2.g1.g6.ha,0.00043782
613,DPC_PH.ha,0.000432531
550,DPC_LE.ha,0.000430431
154,CTriad_g4.g1.g7.ha,0.000430236
37,CTriad_g1.g6.g2.ha,0.000429439
112,CTriad_g3.g2.g7.ha,0.000429333
944,CTDD_polarizability.1.residue75.ha,0.000428072
389,DPC_CD.ha,0.000426804
537,DPC_KM.ha,0.000425318
330,CTriad_g7.g6.g1.ha,0.000424244
218,CTriad_g5.g4.g1.ha,0.00042038
564,DPC_LV.ha,0.000417155
736,DPC_WL.ha,0.000416109
638,DPC_QN.ha,0.000410453
630,DPC_QE.ha,0.000406298
917,CTDD_normwaalsvolume.2.residue25.ha,0.000405635
512,DPC_IG.ha,0.00040553
781,CTDC_hydrophobicity_CASG920101.G3.ha,0.000398876
644,DPC_QV.ha,0.000398749
520,DPC_IQ.ha,0.000391373
654,DPC_RI.ha,0.000385372
640,DPC_QQ.ha,0.000385172
879,CTDD_hydrophobicity_CASG920101.3.residue75.ha,0.000385124
265,CTriad_g6.g3.g6.ha,0.000380779
352,PAAC_Xc1.H.ha,0.000374199
402,DPC_CS.ha,0.000372104
320,CTriad_g7.g4.g5.ha,0.000365644
135,CTriad_g3.g6.g2.ha,0.000365579
678,DPC_SN.ha,0.000365546
95,CTriad_g2.g7.g4.ha,0.000365183
172,CTriad_g4.g4.g4.ha,0.000363229
121,CTriad_g3.g4.g2.ha,0.000358963
441,DPC_ER.ha,0.000357352
643,DPC_QT.ha,0.000357117
176,CTriad_g4.g5.g1.ha,0.000356005
997,CTDD_solventaccess.3.residue25.ha,0.000355125
499,DPC_HP.ha,0.000354513
873,CTDD_hydrophobicity_CASG920101.2.residue50.ha,0.000354
81,CTriad_g2.g5.g4.ha,0.000350723
773,CTDC_hydrophobicity_ZIMJ680101.G1.ha,0.000349844
201,CTriad_g5.g1.g5.ha,0.000348672
874,CTDD_hydrophobicity_CASG920101.2.residue75.ha,0.000347007
52,CTriad_g2.g1.g3.ha,0.000344758
117,CTriad_g3.g3.g5.ha,0.00034338
918,CTDD_normwaalsvolume.2.residue50.ha,0.000334523
932,CTDD_polarity.2.residue25.ha,0.000331911
408,DPC_DC.ha,0.000331414
716,DPC_VL.ha,0.000328131
833,CTDD_hydrophobicity_ARGP820101.3.residue50.ha,0.000322846
747,DPC_YA.ha,0.000320487
268,CTriad_g6.g4.g2.ha,0.000320404
534,DPC_KI.ha,0.000319407
967,CTDD_charge.3.residue25.ha,0.000318281
662,DPC_RS.ha,0.000316791
844,CTDD_hydrophobicity_ZIMJ680101.2.residue75.ha,0.000316659
656,DPC_RL.ha,0.000315855
261,CTriad_g6.g3.g2.ha,0.000315826
156,CTriad_g4.g2.g2.ha,0.000314807
358,PAAC_Xc1.P.ha,0.00031396
514,DPC_II.ha,0.000313066
1027,CTDT_polarity.Tr2332.ha,0.000311018
425,DPC_DW.ha,0.000305916
563,DPC_LT.ha,0.000304639
810,CTDD_hydrophobicity_PRAM900101.1.residue100.ha,0.000301655
146,CTriad_g3.g7.g6.ha,0.000301049
572,DPC_MG.ha,0.000300161
602,DPC_NS.ha,0.00029969
545,DPC_KW.ha,0.000298013
687,DPC_TA.ha,0.000295569
467,DPC_GA.ha,0.000294303
877,CTDD_hydrophobicity_CASG920101.3.residue25.ha,0.00029395
220,CTriad_g5.g4.g3.ha,0.000292702
606,DPC_NY.ha,0.000291127
506,DPC_HY.ha,0.000289495
187,CTriad_g4.g6.g5.ha,0.000288674
855,CTDD_hydrophobicity_PONP930101.1.residue100.ha,0.000287868
1039,CTDT_solventaccess.Tr2332.ha,0.000287649
256,CTriad_g6.g2.g4.ha,0.000284538
940,CTDD_polarity.3.residue100.ha,0.000283293
399,DPC_CP.ha,0.00027999
762,DPC_YS.ha,0.000278617
713,DPC_VH.ha,0.000274226
68,CTriad_g2.g3.g5.ha,0.00027328
317,CTriad_g7.g4.g2.ha,0.000272634
142,CTriad_g3.g7.g2.ha,0.000272082
573,DPC_MH.ha,0.000271669
629,DPC_QD.ha,0.000267181
