"PROT","HOLD","FEAT","CLASS","IMP","value","sd"
"HA","H3N2","triad","Phyllostomidae",0.0107,0.953399080313263,0.0109443338923297
"HA","H3N2","triad","Suidae",0.0826,0.964420705126966,0.00838224590978471
"HA","H3N2","pseaac","Canidae",0.0091,0.948394387748454,0.00579606514539069
"HA","H3N2","pseaac","Equidae",0.0085,0.956405661238813,0.00748833429179245
"HA","H3N2","pseaac","Hominidae",0.0225,0.956153466287031,0.00904884366853043
"HA","H3N2","pseaac","Phyllostomidae",0.0029,0.958908483541199,0.00892759186405604
"HA","H3N2","pseaac","Suidae",0.0664,0.953399080313263,0.0109443338923297
"HA","H3N6","two_mer","Canidae",0.0072,0.967109371788548,0.00525139455966296
"HA","H3N6","two_mer","Equidae",0.0126,0.947461831220136,0.00602048254285951
"HA","H3N6","two_mer","Hominidae",0.2266,0.955630093251164,0.00507267226068594
"HA","H3N6","two_mer","Phyllostomidae",0.0058,0.95386408668468,0.00649321285269012
"HA","H3N6","two_mer","Suidae",0.2734,0.959383583864979,0.00421068813991772
"HA","H3N6","CTDc","Canidae",0.0017,0.950774555727194,0.00991302514952288
"HA","H3N6","CTDc","Equidae",0.0026,0.967109371788548,0.00525139455966296
"HA","H3N6","CTDc","Hominidae",0.0167,0.947461831220136,0.00602048254285951
"HA","H3N6","CTDc","Phyllostomidae",0.0038,0.955630093251164,0.00507267226068594
"HA","H3N6","CTDc","Suidae",0.014,0.95386408668468,0.00649321285269012
"HA","H3N6","CTDd","Canidae",0.0031,0.959383583864979,0.00421068813991772
"HA","H3N6","CTDd","Equidae",0.0059,0.950774555727194,0.00991302514952288
"HA","H3N6","CTDd","Hominidae",0.0331,0.967109371788548,0.00525139455966296
"HA","H3N6","CTDd","Phyllostomidae",0.005,0.947461831220136,0.00602048254285951
"HA","H3N6","CTDd","Suidae",0.0388,0.955630093251164,0.00507267226068594
"HA","H3N6","CTDt","Canidae",0.0013,0.95386408668468,0.00649321285269012
"HA","H3N6","CTDt","Equidae",0.0024,0.959383583864979,0.00421068813991772
"HA","H3N6","CTDt","Hominidae",0.0455,0.950774555727194,0.00991302514952288
"HA","H3N6","CTDt","Phyllostomidae",0.0013,0.967109371788548,0.00525139455966296
"HA","H3N6","CTDt","Suidae",0.0463,0.947461831220136,0.00602048254285951
"HA","H3N6","triad","Canidae",0.0107,0.955630093251164,0.00507267226068594
"HA","H3N6","triad","Equidae",0.0069,0.95386408668468,0.00649321285269012
"HA","H3N6","triad","Hominidae",0.0531,0.959383583864979,0.00421068813991772
"HA","H3N6","triad","Phyllostomidae",0.0044,0.950774555727194,0.00991302514952288
"HA","H3N6","triad","Suidae",0.0846,0.967109371788548,0.00525139455966296
"HA","H3N6","pseaac","Canidae",0.0014,0.947461831220136,0.00602048254285951
"HA","H3N6","pseaac","Equidae",0.0031,0.955630093251164,0.00507267226068594
"HA","H3N6","pseaac","Hominidae",0.036,0.95386408668468,0.00649321285269012
"HA","H3N6","pseaac","Phyllostomidae",0.001,0.959383583864979,0.00421068813991772
"HA","H3N6","pseaac","Suidae",0.0518,0.950774555727194,0.00991302514952288
"HA","H3N8","two_mer","Canidae",0.0056,0.968227617659387,0.00508801955146643
"HA","H3N8","two_mer","Equidae",0.0022,0.946744574499365,0.00954266668644062
"HA","H3N8","two_mer","Hominidae",0.1571,0.955023240974182,0.00366038576557888
