"","Iteration","Lh","Tree.No","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"60",129000,-159.782931,1,0,0.122023,0.122023,0,1.06295,0,0.122023,0,0,0.122023,1.06295,0.122023,1.06295,0,0,0,1.06295,1.06295,0,0.122023,0.122023,1.06295,0.122023,1.06295,1.06295,1.06295,0,0.122023,0.122023,1.06295,0.228933,0.092886,0.189976,0.142023,0.148378,0.197805
"61",131000,-158.200079,1,0,0.075903,0.075903,0,1.352609,0.075903,0.075903,0.075903,1.352609,0,0.075903,0,1.352609,0.075903,0.075903,1.352609,1.352609,0,1.352609,0.075903,0,1.352609,0,0.075903,1.352609,1.352609,0,0,0,1.352609,0.188291,0.148976,0.161367,0.164918,0.159628,0.17682
"62",133000,-159.670001,1,0,0.154231,0.154231,0,1.337514,0.154231,0,0,0.154231,0.154231,0,1.337514,1.337514,0.154231,1.337514,0,0,0,0,1.337514,1.337514,1.337514,0.154231,0,1.337514,1.337514,0.154231,0,0.154231,1.337514,0.184882,0.131598,0.162117,0.180742,0.164547,0.176115
"63",135000,-155.381841,1,0.058997,0.058997,0.058997,0,1.898938,0.058997,0,0,0.058997,0,0,1.898938,1.898938,1.898938,0.058997,1.898938,0,0.058997,0.058997,0.058997,1.898938,0,0.058997,0,1.898938,1.898938,0.058997,0,0.058997,1.898938,0.203049,0.03473,0.139707,0.211223,0.206419,0.204871
"64",137000,-146.408546,1,0.507795,0.507795,0,0,0.507795,0.507795,0.507795,0,0,0,10.441693,0,10.441693,10.441693,0,10.441693,0,0,0.507795,0.507795,0.507795,0,0.507795,0,10.441693,0.507795,0.507795,0,0,0.507795,0.168065,0.16707,0.167028,0.168014,0.164914,0.164909
"65",139000,-149.663695,1,0,1.122543,0,0,1.122543,0,0,0,0,0,13.675285,0,13.675285,13.675285,0,13.675285,0,1.122543,1.122543,0,0,1.122543,0,1.122543,13.675285,1.122543,0,0,0,1.122543,0.211202,0,0.19937,0.209261,0.177048,0.203119
"66",141000,-147.262629,1,0,1.007552,0,0,1.007552,0,0,0,0,0,21.187998,1.007552,21.187998,21.187998,1.007552,1.007552,1.007552,1.007552,1.007552,1.007552,0,0,1.007552,0,21.187998,1.007552,0,0,1.007552,1.007552,0.233314,0,0.191096,0.1444,0.216357,0.214832
"67",143000,-148.356523,1,0,0.707583,0,0,0.707583,0,0,0,0,0,8.87084,0.707583,0,8.87084,8.87084,0.707583,0.707583,0,0.707583,0.707583,0,0,0,0,8.87084,0.707583,0,0,0.707583,0.707583,0.238452,0,0.209575,0.131529,0.212316,0.208128
"68",145000,-147.874611,1,0,0.632934,0,0,0.632934,0,0,0.632934,0,0.632934,13.116877,0.632934,13.116877,0,0.632934,0,0.632934,13.116877,0.632934,0,0.632934,0.632934,0,0,13.116877,0.632934,0.632934,0,0.632934,0.632934,0.170146,0.160986,0.169337,0.168928,0.16522,0.165383
"69",147000,-150.275493,1,0,0.997989,0,0,0.997989,0,0,0,0,0,22.80376,0.997989,22.80376,0.997989,0,0,0.997989,22.80376,0.997989,0.997989,0,0.997989,0,0,22.80376,0.997989,0,0,0.997989,0.997989,0.221381,0,0.192423,0.179873,0.19524,0.211083
