"","Iteration","Lh","Tree.No","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"39",87000,-347.406228,1,0,0,0.467688,0.467688,0.467688,0.467688,0,0,0.467688,0,0.467688,0.467688,0,0,0.467688,0.467688,0.467688,11.229327,0.467688,0.467688,0.467688,0.467688,0.467688,0.467688,11.229327,0.467688,0,0,0,0.467688,0.013153,0.040182,0.02662,0.040144,0.521331,0.35857
"40",89000,-348.108087,1,0,0,0.444842,0.444842,0.444842,0,0.444842,0.444842,0,0.444842,0,0.444842,0.444842,0.444842,0,0.444842,0,10.463515,0.444842,0.444842,0.444842,0.444842,0.444842,0.444842,10.463515,0.444842,0,0,0,0.444842,0.0119,0.064143,0.016249,0.039069,0.51618,0.352458
"41",91000,-346.124426,1,0,0,0.407087,0.407087,0.407087,0,0.407087,0.407087,0.407087,0,0,0.407087,0.407087,0,0,0.407087,0.407087,9.996237,0.407087,0.407087,0.407087,0.407087,0.407087,0.407087,9.996237,0.407087,0,0,0,0.407087,0.011873,0.033479,0.000191,0.039191,0.551118,0.364149
"42",93000,-348.769417,1,0,0,0.501797,0.501797,0.501797,0,0.501797,0.501797,0,0.501797,0.501797,0.501797,0.501797,0,0,0.501797,0,9.961347,0.501797,0.501797,0.501797,0.501797,0,0.501797,9.961347,0.501797,0,0,0,0.501797,0.014768,0.06185,0.000638,0.03832,0.500168,0.384257
"43",95000,-346.44239,1,0,0,0.526696,0.526696,0.526696,0,0.526696,0.526696,0,0.526696,0.526696,0,12.234247,0.526696,0,0.526696,0.526696,12.234247,0.526696,0,0.526696,0.526696,0.526696,0.526696,12.234247,0.526696,0,0,0,0.526696,0.014137,0.067655,0.011922,0.012578,0.494116,0.399591
"44",97000,-348.487819,1,0,0,0.404189,0.404189,0.404189,0.404189,0.404189,0.404189,0.404189,0.404189,0.404189,0.404189,0.404189,0,0.404189,0.404189,0.404189,8.772431,0.404189,0.404189,0.404189,0.404189,0.404189,0.404189,8.772431,0.404189,0,0,0,0.404189,0.010985,0.075377,0.023843,0.034275,0.46192,0.3936
"45",99000,-347.929767,1,0,0,0.407298,0.407298,0.407298,0.407298,0.407298,0.407298,0,0,0.407298,0,0.407298,0.407298,0.407298,0,0,9.966408,0.407298,0.407298,0.407298,0.407298,0.407298,0.407298,9.966408,0.407298,0,0,0,0.407298,0.004909,0.002497,0.004909,0.004909,0.590048,0.392729
"46",101000,-348.088779,1,0,0,0.620206,0.620206,0.620206,0.620206,0.620206,0.620206,0.620206,0.620206,0.620206,0.620206,0.620206,0.620206,0.620206,0.620206,0.620206,15.753886,0.620206,0,0.620206,0,0.620206,0.620206,15.753886,0.620206,0,0,0,0.620206,0.026779,0.094912,0.06309,0.03655,0.411869,0.3668
"47",103000,-346.997446,1,0,0,0.603731,0.603731,0.603731,0,0.603731,0.603731,0.603731,0.603731,0.603731,0.603731,0.603731,0.603731,0,0,0.603731,8.749194,0.603731,0.603731,0.603731,0.603731,0.603731,0,8.749194,0.603731,0,0,0,0.603731,0.018895,0.067041,0.013695,0.036934,0.404264,0.45917
"48",105000,-349.937684,1,0,0,0.353052,0.353052,0.353052,0.353052,0.353052,0.353052,0.353052,0.353052,0.353052,0.353052,0,0.353052,0.353052,0.353052,0,10.349404,0.353052,0.353052,0.353052,0.353052,0.353052,0,10.349404,0.353052,0,0,0,0.353052,0.008931,0.104199,0.040688,0.038271,0.503657,0.304253
"49",107000,-349.682918,1,0,0,0.489074,0.489074,0.489074,0,0.489074,0.489074,0.489074,0.489074,0.489074,0.489074,0,0.489074,0,0.489074,0.489074,14.075148,0.489074,0,0.489074,0.489074,0.489074,0.489074,14.075148,0.489074,0,0,0,0.489074,0.015824,0.09278,0.018001,0.018001,0.488493,0.366902
"50",109000,-348.125589,1,0,0,0.442388,0.442388,0.442388,0,0,0.442388,0.442388,0.442388,0.442388,0.442388,0.442388,0,0.442388,0.442388,0.442388,12.889094,0.442388,0,0.442388,0.442388,0.442388,0.442388,12.889094,0.442388,0,0,0,0.442388,0.012706,0.114765,0.025441,0.018118,0.501952,0.327018
"51",111000,-349.129247,1,0,0,0.397712,0.397712,0.397712,0.397712,0.397712,0,0,0.397712,0.397712,0,0.397712,0.397712,0.397712,0.397712,0.397712,12.795078,0,0,0.397712,0.397712,0.397712,0.397712,12.795078,0.397712,0,0,0,0.397712,0.006316,0.107595,0.006316,0.001738,0.552734,0.325302
"52",113000,-345.970418,1,0,0,0.564079,0.564079,0.564079,0,0.564079,0.564079,0,0,0.564079,0.564079,0.564079,0.564079,0.564079,0.564079,0.564079,8.973433,0.564079,0.564079,0.564079,0.564079,0.564079,0.564079,8.973433,0.564079,0,0,0,0.564079,0.015752,0.001366,0.041242,0.041242,0.458739,0.441659
"53",115000,-347.532078,1,0,0,0.386609,0.386609,0.386609,0,0,0.386609,0.386609,0.386609,0.386609,0.386609,0.386609,0.386609,0.386609,0.386609,0.386609,8.788382,0,8.788382,0.386609,0.386609,0,0.386609,8.788382,0.386609,0,0,0.386609,0.386609,0.004975,0.073359,0.02282,0.216517,0.362644,0.319685
"54",117000,-354.133348,1,0,0,0.638742,0.638742,0.638742,0,0.638742,0.638742,0,0.638742,0,0.638742,0,0,0.638742,0,0.638742,11.591157,0.638742,11.591157,0.638742,0,0,0,11.591157,0.638742,0,0,0,0.638742,0.022189,0.093505,0.047074,0.544432,0.143253,0.149547
"55",119000,-346.563139,1,0,0,0.358,0.358,0.358,0.358,0,0.358,0,0.358,0.358,0,0.358,0.358,0,0,0.358,11.384259,0.358,0.358,0.358,0.358,0,0,11.384259,0.358,0,0,0,0.358,0.00511,0.09302,0.002101,0.009072,0.616673,0.274024
"56",121000,-344.816465,1,0,0,0.364043,0.364043,0.364043,0,0.364043,0.364043,0.364043,0,0,0.364043,0.364043,0.364043,0,0,0,11.073229,0.364043,0,0.364043,0.364043,0.364043,0.364043,11.073229,0.364043,0,0,0,0.364043,0.009858,0.045262,0.017398,0.016417,0.595683,0.315382
"57",123000,-344.879941,1,0,0,0.369177,0.369177,0.369177,0,0.369177,0.369177,0.369177,0,0.369177,0.369177,0.369177,0,0.369177,0,0.369177,15.532546,0.369177,0.369177,0.369177,0.369177,0,0.369177,15.532546,0.369177,0,0,0,0.369177,0.012055,0.066739,0.028188,0.048224,0.561964,0.282831
"58",125000,-348.092832,1,0,0,0.424909,0.424909,0.424909,0,0,0,0,0,0,0.424909,0.424909,0,0,0.424909,0.424909,10.85635,10.85635,0.424909,0.424909,0,0,0.424909,10.85635,0.424909,0,0,0,0.424909,0.011001,0,0.006178,0.678167,0.193537,0.111118
"59",127000,-351.467395,1,0,0,0.381408,0.381408,0.381408,0,0,0,0.381408,0.381408,0.381408,0,0.381408,0,0,0,0.381408,9.421783,0,0.381408,0.381408,0.381408,0.381408,0.381408,9.421783,0.381408,0,0,0,0.381408,0.004998,0.181651,1.7e-05,0.004956,0.498048,0.31033
"60",129000,-353.157893,1,0,0,0.705071,0.705071,0.705071,0.705071,0,0.705071,0.705071,0.705071,0.705071,0.705071,0,0,0.705071,10.180303,0.705071,10.180303,0.705071,0.705071,0.705071,0,0.705071,0,10.180303,0.705071,0,0,0,0.705071,0.026707,0.114485,0.049216,0.055575,0.390953,0.363064
"61",131000,-345.820216,1,0,0,0.514935,0.514935,0.514935,0.514935,0.514935,0.514935,0,0,0,0,0,0,0,0.514935,9.964812,9.964812,0,0,0.514935,0.514935,0.514935,0,9.964812,0.514935,0,0,0,0.514935,0.022422,0.000428,0,0.00021,0.437313,0.539628
"62",133000,-349.876661,1,0,0,0.345151,0.345151,0.345151,0.345151,0,0,0,0.345151,0.345151,0.345151,0,0,0.345151,0.345151,0.345151,6.972092,6.972092,6.972092,0.345151,0.345151,0,0,6.972092,0.345151,0,0,0,0.345151,0.004617,0.057503,0.016443,0.351696,0.365206,0.204535
"63",135000,-347.61888,1,0,0,0.366779,0.366779,0.366779,0.366779,0.366779,0,0,0.366779,0.366779,0.366779,0.366779,0,6.205368,0,0.366779,6.205368,0,6.205368,0.366779,0.366779,0,0,6.205368,0.366779,0,0,0,0.366779,0.003937,0.059737,0.247226,0.262301,0.246595,0.180203
"64",137000,-347.222159,1,0,0,0.498104,0.498104,0.498104,0,0.498104,0.498104,0.498104,0.498104,0.498104,0.498104,0,0,0.498104,0.498104,0,8.930345,0,0.498104,0.498104,0.498104,0.498104,0,8.930345,0.498104,0,0,0,0.498104,0.013684,0.085172,0.026612,0.024851,0.450746,0.398934
"65",139000,-348.38999,1,0,0,0.461795,0.461795,0.461795,0.461795,0,0.461795,0.461795,0,0.461795,0,0.461795,0,0,0.461795,0,9.104898,9.104898,0.461795,0.461795,0.461795,0,0.461795,9.104898,0.461795,0,0,0,0.461795,0.007103,0.056199,0.000171,0.063643,0.511438,0.361446
